"Table 1 
National Health Expenditures; Aggregate and Per Capita Amounts, Annual Percent Change and Percent Distribution: Calendar Years 1960-2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
National Health Expenditures (Amount in Billions),27.1,29.1,31.8,34.6,38.2,41.6,45.8,51.2,58,65.4,74.1,82.4,92.4,102.7,116.3,132.7,152,172.6,194,219.7,253.2,293.6,330.9,364.8,401.9,439.9,472.3,514.5,576.6,642.2,718.7,786,852.2,914.9,966.4,"1,020.30","1,073.60","1,132.90","1,198.40","1,273.20","1,366.00","1,483.40","1,631.00","1,770.40","1,894.70","2,026.60","2,165.10","2,305.50","2,402.40","2,492.70","2,589.60","2,676.50","2,783.30","2,855.90","3,002.10","3,165.50","3,307.90","3,446.40","3,603.80","3,762.10","4,153.90","4,327.70","4,525.80","4,866.50"
     Health Consumption Expenditures,24.6,26.2,28.3,30.8,33.9,36.9,40.8,46,52.2,58.4,66.3,73.6,82.5,92.2,104.9,119.9,138,158.3,178.1,202.2,232.7,270.1,304.2,335.5,371,408.7,440,478.8,536.8,598.5,670.2,733.9,795.1,854,902.8,954.7,"1,006.50","1,061.30","1,119.90","1,188.80","1,280.30","1,393.40","1,529.60","1,661.80","1,777.80","1,901.00","2,032.10","2,159.30","2,246.10","2,345.50","2,437.50","2,517.80","2,620.10","2,692.90","2,842.20","3,000.70","3,138.90","3,263.10","3,411.00","3,563.80","3,953.90","4,109.20","4,298.60","4,627.70"
             Personal Health Care,23.1,24.6,26.5,29,31.8,34.4,38,43,48.6,54.9,62.4,68.7,76.4,85.3,97.8,112.1,128.1,145.1,162.4,184.9,214.3,248.6,279.5,308,337.9,372.6,405.4,444.4,495.1,547,611.9,672.6,728.3,775.5,817.7,866.5,914.6,965.6,"1,019.20","1,078.80","1,156.50","1,256.50","1,365.50","1,475.90","1,582.40","1,693.80","1,806.50","1,921.50","2,007.20","2,105.50","2,180.50","2,253.90","2,346.20","2,404.80","2,526.30","2,673.00","2,793.80","2,901.30","3,017.00","3,172.80","3,368.30","3,581.30","3,755.20","4,107.40"
             Government Administration and Net Cost of Health Insurance,1.1,1.2,1.3,1.3,1.5,1.8,2,2.1,2.6,2.4,2.6,3.2,4.3,4.8,4.5,4.9,6.7,9.3,11.1,11.9,11.9,13.9,16.1,18.3,23.2,24.9,22.2,20.8,26.4,33.7,38.3,39.2,42.5,51.7,55.5,57.2,59.5,60.8,63.3,69.3,80.7,90.1,111.9,131.7,140.4,150,164.8,171.9,167.4,165.9,181.4,189.5,196.7,206.6,231.5,242.2,255.2,266.5,294.8,282.7,344.8,316.5,336.5,360.2
             Government Public Health Activities,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.9,1,1.2,1.4,1.7,1.9,2.1,2.6,3,3.2,3.8,4.6,5.4,6.4,7.5,8.6,9.3,9.8,11.2,12.4,13.6,15.3,17.8,20,22.1,24.4,26.8,29.6,31,32.4,34.8,37.5,40.7,43,46.8,52.2,54.2,54.9,57.3,60.9,66,71.6,74.2,75.7,74.4,77.2,81.5,84.4,85.5,89.9,95.4,99.3,108.2,240.8,211.4,206.8,160.2
     Investment,2.6,2.9,3.5,3.8,4.3,4.8,5,5.2,5.9,7,7.7,8.8,9.9,10.4,11.5,12.7,14,14.4,15.9,17.5,20.6,23.5,26.7,29.3,30.9,31.1,32.3,35.7,39.9,43.7,48.6,52,57.1,60.9,63.6,65.6,67.1,71.7,78.5,84.4,85.7,90,101.5,108.6,116.9,125.5,133,146.2,156.3,147.2,152.1,158.7,163.2,163.1,159.9,164.9,169,183.3,192.7,198.3,199.9,218.5,227.2,238.8
U.S. Population1 (Millions),186,189,192,195,197,200,202,204,206,208,210,213,215,217,218,220,222,224,226,228,230,233,235,237,239,242,244,246,248,251,254,256,260,263,265,268,271,274,276,279,282,285,287,290,292,295,298,301,304,306,309,311,314,316,319,321,324,326,328,329,331,331,332,334
Gross Domestic Product2  (Amount in Billions),542.4,562.2,603.9,637.5,684.5,742.3,813.4,860,940.7,"1,017.60","1,073.30","1,164.90","1,279.10","1,425.40","1,545.20","1,684.90","1,873.40","2,081.80","2,351.60","2,627.30","2,857.30","3,207.00","3,343.80","3,634.00","4,037.60","4,339.00","4,579.60","4,855.20","5,236.40","5,641.60","5,963.10","6,158.10","6,520.30","6,858.60","7,287.20","7,639.70","8,073.10","8,577.60","9,062.80","9,631.20","10,251.00","10,581.90","10,929.10","11,456.50","12,217.20","13,039.20","13,815.60","14,474.20","14,769.90","14,478.10","15,049.00","15,599.70","16,254.00","16,880.70","17,608.10","18,295.00","18,804.90","19,612.10","20,656.50","21,540.00","21,354.10","23,681.20","26,006.90","27,720.70"
National Health Expenditures (Annual Percent Change) ,,7.1,9.3,8.8,10.7,8.8,9.9,11.9,13.3,12.8,13.2,11.2,12.1,11.1,13.3,14,14.6,13.6,12.3,13.3,15.3,15.9,12.7,10.2,10.2,9.5,7.4,8.9,12.1,11.4,11.9,9.4,8.4,7.4,5.6,5.6,5.2,5.5,5.8,6.2,7.3,8.6,9.9,8.5,7,7,6.8,6.5,4.2,3.8,3.9,3.4,4,2.6,5.1,5.4,4.5,4.2,4.6,4.4,10.4,4.2,4.6,7.5
