Variable,Subgroup,Response,Description,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,2/1/2013,3/1/2013,4/1/2013,6/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,3/1/2015,4/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,2/1/2017,3/1/2017,4/1/2017,4/15/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,6/1/2018,7/1/2018,8/1/2018,10/1/2018,11/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,6/1/2019,7/1/2019,9/1/2019,10/1/2019,11/1/2019,1/1/2020,2/1/2020,4/1/2020,5/1/2020,7/1/2020,9/1/2020,10/1/2020,12/1/2020,2/1/2021,5/1/2021,10/1/2021,3/1/2022,3/1/2023,5/1/2023,2/1/2024,4/1/2024,1/1/2025
Total,Total,Favorable,Views of the ACA among all adults,46,41,48,50,43,49,42,42,42,41,43,42,41,42,42,42,39,41,34,37,41,37,42,41,42,37,41,38,38,45,38,43,36,37,35,35,37,39,38,33,34,34,35,38,38,38,39,37,35,36,37,41,40,41,43,39,43,44,41,42,38,40,41,41,41,38,42,40,40,44,45,43,43,48,49,46,48,49,51,50,52,46,51,50,50,54,50,49,50,48,50,49,53,51,50,50,50,46,48,53,51,52,53,55,50,51,51,49,55,53,54,53,58,55,62,59,59,62,64
Total,Total,Unfavorable,,40,44,41,35,45,40,44,40,41,50,48,46,41,44,46,43,44,43,51,44,43,44,43,40,43,44,41,44,43,40,43,39,42,40,40,43,42,43,44,49,48,50,47,46,46,45,45,53,47,43,46,46,46,43,42,42,40,41,45,42,45,46,44,46,47,49,44,46,42,47,45,45,46,42,44,46,41,42,41,44,39,44,40,46,42,42,43,43,41,40,40,42,40,40,37,39,38,40,41,41,40,41,37,37,39,41,36,42,39,34,39,35,41,42,36,40,39,37,36
Total,Total,Don't Know,,14,14,10,14,12,11,15,18,18,9,8,13,18,14,12,15,17,16,15,19,17,19,15,19,15,19,18,17,19,14,19,19,23,23,24,23,20,17,18,18,18,16,18,15,16,17,16,11,19,20,18,14,15,16,14,19,17,14,14,16,17,14,16,14,13,13,14,14,17,9,10,11,11,10,6,9,12,9,8,6,8,10,9,5,8,5,7,9,8,11,10,9,8,10,12,11,13,12,12,7,8,7,10,9,12,8,13,9,6,13,7,13,2,2,2,1,2,1,0
Party ID,Democrat,Favorable,Views of the ACA among those who identify as Democrat,78,72,69,73,68,75,69,68,69,73,66,71,64,72,65,64,60,65,52,62,64,62,64,66,70,62,71,69,64,72,64,72,57,58,57,58,59,67,70,55,68,58,59,66,68,64,66,62,57,59,67,69,64,65,70,65,61,76,67,63,63,67,65,66,69,63,71,64,67,74,76,74,70,73,73,74,73,78,78,77,81,75,77,80,79,83,73,79,79,75,77,73,81,78,77,80,77,79,80,84,81,83,84,85,75,80,79,82,85,86,82,85,85,87,90,89,87,87,93
Party ID,Democrat,Unfavorable,,13,14,19,15,17,13,18,13,16,17,26,16,17,15,21,20,27,18,31,21,20,19,18,12,14,18,13,15,18,15,15,14,16,18,18,17,19,15,16,24,13,26,21,18,17,21,19,25,23,22,21,18,18,22,16,19,20,13,21,19,23,19,19,19,19,25,16,21,16,20,14,19,18,19,20,19,19,16,16,20,13,17,17,17,16,15,19,15,16,16,17,18,16,14,11,10,10,12,12,12,12,12,10,8,17,15,12,13,9,6,10,8,13,12,9,11,12,12,7
Party ID,Democrat,Don't Know,,10,14,13,12,14,12,13,19,15,10,9,13,20,12,14,16,13,16,17,17,15,19,17,22,16,20,16,16,17,13,21,14,26,25,25,25,22,17,14,20,19,15,19,16,15,15,15,13,20,19,13,13,18,13,14,16,19,11,12,17,14,14,16,14,12,11,13,16,17,7,9,7,12,8,6,7,9,7,6,4,6,8,5,4,4,2,8,7,5,9,6,9,4,8,12,10,12,9,9,4,7,5,7,6,9,4,9,5,5,7,8,7,2,1,1,0,-,1,0
Party ID,Independent,Favorable,Views of the ACA among those who identify as Independent,36,37,49,48,41,42,34,37,37,34,43,37,41,35,33,38,33,36,32,34,33,30,40,40,39,34,38,35,34,41,32,37,32,31,36,32,34,34,33,33,28,32,35,32,37,36,31,31,30,35,35,40,38,37,42,37,41,39,41,41,36,32,37,38,40,37,38,38,37,43,38,42,42,50,46,45,48,48,50,50,53,45,53,43,48,55,47,46,49,51,50,48,47,50,51,45,49,47,49,52,51,52,55,53,50,55,51,48,59,50,54,54,55,58,65,62,55,65,71
Party ID,Independent,Unfavorable,,46,49,41,37,48,45,49,44,41,57,47,49,44,49,53,49,48,48,52,47,50,51,39,42,47,49,43,47,46,42,49,42,46,45,45,43,50,51,50,54,56,52,49,54,50,46,53,59,49,46,45,46,51,47,46,45,43,46,47,43,44,53,48,49,45,48,48,50,47,47,52,48,49,39,47,47,37,45,41,46,37,46,37,50,42,40,45,43,41,40,39,45,46,39,36,41,37,41,39,41,39,43,34,38,36,37,35,41,35,34,40,32,42,38,33,38,43,34,29
Party ID,Independent,Don't Know,,18,14,11,15,10,12,18,19,21,8,9,14,17,16,13,13,19,17,16,20,17,18,21,17,13,17,19,19,20,17,20,21,23,24,19,24,16,15,18,13,16,16,16,14,14,19,16,9,21,20,19,14,10,16,12,19,15,16,12,16,20,15,16,13,14,14,14,12,16,11,10,11,9,11,7,8,14,7,9,5,10,8,9,7,10,5,7,10,11,9,12,8,8,11,14,13,13,13,11,7,9,6,10,9,14,8,13,11,6,15,6,15,2,4,2,1,3,1,0
Party ID,Republican,Favorable,Views of the ACA among those who identify as Republican,13,8,23,21,16,21,11,15,12,12,11,9,12,17,20,16,24,14,11,12,19,12,16,12,7,8,7,12,8,16,10,12,12,18,15,12,15,11,12,7,7,9,11,15,11,14,15,12,11,10,13,10,11,14,16,16,17,20,12,13,13,14,12,13,12,13,12,14,13,17,11,12,18,18,19,15,17,12,19,16,21,12,22,17,16,19,18,17,18,15,15,21,17,12,16,17,14,16,14,16,15,22,19,18,19,19,18,16,18,20,17,15,27,21,29,26,33,33,28
