"Hospitals Spending by All Sources, 1960-2023"
U.S. $ Per Capita - Inflation Adjusted
Year,Hospitals,Total National Health Expenditures
1960,$374.34,"$1,129.99"
1961,$396.23,"$1,177.69"
1962,$411.19,"$1,252.07"
1963,$443.05,"$1,330.59"
1964,$468.41,"$1,433.04"
1965,$493.69,"$1,517.23"
1966,$538.09,"$1,609.27"
1967,$605.21,"$1,740.55"
1968,$665.75,"$1,880.68"
1969,$718.38,"$2,011.13"
1970,$788.85,"$2,150.90"
1971,$830.63,"$2,264.02"
1972,$891.11,"$2,432.34"
1973,$939.70,"$2,543.87"
1974,$983.11,"$2,591.32"
1975,"$1,044.89","$2,705.65"
1976,"$1,138.96","$2,914.95"
1977,"$1,196.41","$3,081.94"
1978,"$1,250.16","$3,206.60"
1979,"$1,295.95","$3,304.26"
1980,"$1,350.33","$3,401.87"
1981,"$1,434.70","$3,585.19"
1982,"$1,530.19","$3,789.03"
1983,"$1,574.58","$3,968.47"
1984,"$1,604.32","$4,176.90"
1985,"$1,638.43","$4,379.21"
1986,"$1,696.06","$4,557.27"
1987,"$1,758.84","$4,771.27"
1988,"$1,825.14","$5,097.88"
1989,"$1,895.72","$5,387.23"
1990,"$1,990.89","$5,713.81"
1991,"$2,097.50","$5,978.32"
1992,"$2,185.10","$6,238.85"
1993,"$2,229.86","$6,461.23"
1994,"$2,248.25","$6,616.33"
1995,"$2,252.29","$6,772.40"
1996,"$2,257.07","$6,907.08"
1997,"$2,274.24","$7,090.19"
1998,"$2,303.55","$7,363.56"
1999,"$2,359.91","$7,633.21"
2000,"$2,405.57","$7,907.94"
2001,"$2,526.74","$8,341.22"
2002,"$2,675.68","$8,970.71"
2003,"$2,809.34","$9,457.44"
2004,"$2,919.82","$9,785.70"
2005,"$3,027.79","$10,082.23"
2006,"$3,120.31","$10,374.25"
2007,"$3,201.11","$10,666.84"
2008,"$3,211.13","$10,690.11"
2009,"$3,409.99","$11,024.38"
2010,"$3,484.99","$11,158.43"
2011,"$3,476.07","$11,165.81"
2012,"$3,567.54","$11,309.53"
2013,"$3,610.00","$11,369.51"
2014,"$3,663.65","$11,694.16"
2015,"$3,815.33","$12,212.21"
2016,"$3,923.31","$12,534.31"
2017,"$3,985.62","$12,747.11"
2018,"$4,045.47","$12,986.14"
2019,"$4,218.82","$13,297.12"
2020,"$4,414.46","$14,465.71"
2021,"$4,454.06","$14,449.24"
2022,"$4,298.57","$14,131.25"
2023,"$4,549.82","$14,569.85"
Source: National Health Spending Explorer
Peterson-KFF Health System Tracker
https://www.healthsystemtracker.org/
